smiles,IC50_nM
CCN(C)C1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1,30000.0
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@](C)(O)CC[C@H]34)[C@@H]1CC[C@@H]2C(=O)Cn1cc(cn1)C#N,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCC2(CCN(C2=O)c2ccc(=O)n(C)n2)CC1,30000.0
Cc1cc(Nc2nccc(n2)-c2sc(nc2-c2ccc(F)cc2)C2CCNCC2)ccn1,30000.0
Cc1cc(Nc2nccc(n2)-c2sc(nc2-c2ccc(F)cc2)C2CCNCC2)ccn1,30000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2NCn3c(cc4c(F)cccc34)-c2n1)-c1ccc(F)cc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4nccc(=O)n34)cc2)N1)c1ccccc1,30000.0
C[C@H]([C@H](N)c1nc2ccc(cc2[nH]1)C(C)(C)C)C(N)=O,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2F)S1,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCN(C[C@H](O)c2ccc3C(=O)OCc3c2C)CC1,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCN(C[C@H](O)c2ccc3C(=O)OCc3c2C)CC1,30000.0
CN1C(=O)[C@]2(CCCN2C(=O)C2CC2)c2cc(ccc12)-c1ncnc2n(C)c(nc12)-c1cnc(C)nc1,30000.0
CCn1c(nc2c(ncnc12)-c1cnc2NC(=O)[C@@](C)(NCC(C)(C)F)c2c1)-c1cnc(C)nc1,30000.0
CCNC1=N[C@@H]2C[C@H](O)[C@@H](CO)O[C@@H]2S1,30000.0
CC1=C(COC1=O)N1CCC2(CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2)C1=O,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)C(F)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](COC)[C@@H](O)[C@@H]2O)S1,30000.0
